Категория	Код	Название	Описание	Вопрос домена	Принцип
1	1.A	Ошибки постановки вопроса	Нечестные вопросы, искажающие условия рассуждения до его начала	—	Честный вопрос направлен на истину и понимание
1	1.A.1	Loaded question	Скрытое допущение встроено в вопрос		
1	1.A.2	Leading question	Вопрос подсказывает желаемый ответ		
1	1.A.3	Complex question	Несколько вопросов слиты в один		
1	1.A.4	False dilemma question	Вопрос искусственно ограничивает варианты		
1	1.A.5	Question-begging question	Ответ уже содержится в вопросе		
1	1.A.6	Loaded definition question	Определение в вопросе предрешает ответ		
1	1.B	Подмены рассуждения (манипуляции)	Вместо аргумента предъявляется воздействие. Мимикрия под рассуждение.	—	Рассуждение подменяется давлением или обманом
1	1.B.1	Appeal to force (ad baculum)	Угроза или сила вместо аргумента		
1	1.B.2	Appeal to pity (ad misericordiam)	Жалость вместо аргумента		
1	1.B.3	Appeal to emotion	Эмоция вместо аргумента		
1	1.B.4	Appeal to flattery	Лесть вместо аргумента		
1	1.B.5	Appeal to ridicule	Высмеивание вместо аргумента		
1	1.B.6	Poisoning the well	Предварительная дискредитация источника		
1	1.B.7	Alphabet Soup / Жаргонная завеса	Злоупотребление жаргоном для создания ложного этоса или запутывания		
1	1.B.8	Alternative Truth / Дезинформация	Отрицание различия между фактом и вымыслом как такового		
1	1.B.9	Appeal to Heaven / Непроверяемый авторитет	Ссылка на волю Бога/Судьбы, исключающая проверку и возражения		
1	1.B.10	Appeasement / Давление вместо аргумента	Уступка требованиям из-за давления, а не обоснованности		
1	1.B.11	Argumentum ad Mysteriam / Мистагогия	Ритуальное/мистическое воздействие вместо аргумента		
1	1.B.12	Big Brain/Little Brain / Делегирование	Отказ от рассуждения через передачу ответственности лидеру		
1	1.B.13	Bribery / Подкуп	Материальный стимул вместо аргумента		
2	2.1	Домен 1 — Распознавание	Искажение того, что воспринимается как объект рассуждения	Что здесь есть?	Принцип Присутствия
2	2.1.1	Деформация объекта (A→A')	Объект искажён, но формально тот же		
2	2.1.2	Замена объекта (A→B)	Вместо объекта — другой объект		
2	2.1.3	Фильтрация данных	Отбор данных под результат или по доступности		
2	2.1.4	Проекция	Видим своё ожидание вместо реальности		
2	2.2	Домен 2 — Прояснение	Недостаточная ясность понятий и терминов	Что это значит?	Принцип Корня
2	2.2.1	Дрейф значения	Термин меняет смысл в ходе рассуждения		
2	2.2.2	Открытая неясность	Значение не определено с самого начала		
2	2.2.3	Неполнота анализа	Пространство возможностей не исследовано		
2	2.2.4	Скрытая предрешённость	Вывод спрятан в определении		
