ID	Название (RU)	Название (EN)	Новый тип	Подтип	Домен ошибки	Суть ошибки	Старый тип	Разбор в книге
S.1	Парадокс лжеца	Liar Paradox	Структурный	Семантический	—	Высказывание оценивает свою истинность (смешение уровней)	Истинный	Центральный
S.2	Парадокс Эпименида	Epimenides Paradox	Структурный	Семантический	—	Говорящий включён в область своего универсального высказывания	Истинный	Краткий
S.3	Парадокс Греллинга-Нельсона	Grelling-Nelson	Структурный	Семантический	—	Свойство второго порядка применяется к себе	Истинный	Краткий
S.4	Парадокс Берри	Berry Paradox	Структурный	Семантический	—	Определение через неопределимость (метауровень в объектном)	Истинный	Краткий
S.5	Парадокс Ришара	Richard's Paradox	Структурный	Семантический	—	Определение через все определения	Истинный	Краткий
S.6	Парадокс Карри	Curry's Paradox	Структурный	Семантический	—	Условное включает себя в антецедент	Истинный	Краткий
S.7	Дилемма крокодила	Crocodile Dilemma	Структурный	Семантический	—	Правило зависит от высказывания о своём исполнении	Истинный	Краткий
S.8	Мост Буридана	Buridan's Bridge	Структурный	Семантический	—	Истинность условия зависит от его исполнения	Истинный	Краткий
S.9	Парадокс Ябло	Yablo's Paradox	Структурный	Семантический	—	Распределённая самореференция через бесконечную цепь	Истинный	Краткий
S.10	Парадокс Рассела	Russell's Paradox	Структурный	Теоретико-множественный	—	Множество содержит себя как элемент (контейнер = содержимое)	Истинный	Центральный
S.11	Парадокс парикмахера	Barber Paradox	Структурный	Теоретико-множественный	—	Правило применяется к создателю правила	Истинный	Краткий
S.12	Парадокс Буралли-Форти	Burali-Forti	Структурный	Теоретико-множественный	—	Ординал всех ординалов (открытая последовательность как множество)	Истинный	Краткий
S.13	Парадокс Кантора	Cantor's Paradox	Структурный	Теоретико-множественный	—	Множество всех множеств (универсальное множество)	Истинный	Краткий
D.1	Парадокс кучи (сорит)	Sorites Paradox	Дефектный	Неопределённость понятия	Д2	«Куча» не прояснена как градуальное понятие	Истинный	Центральный
D.2	Парадокс лысого	Bald Man Paradox	Дефектный	Неопределённость понятия	Д2	«Лысый» — градуальное понятие без чёткой границы	Истинный	Краткий
D.3	Парадокс цветового спектра	Color Spectrum	Дефектный	Неопределённость понятия	Д2	Цветовые категории — конвенции, не дискретные сущности	Истинный	Краткий
