ID	Название (EN)	Название (RU)	Категория	Домен/Подкатегория	Подтип	Код подтипа	Формулировка	Механизм нарушения	Пример	Связанные ошибки	Диагностический вопрос	Психологический источник	Статус	Источник (Texas ID)	Вторичный код (Кат.3)
1.A.3.1	Complex Question	Слитые вопросы	1 - Условия	1.A Вопросы	Несколько вопросов слиты в один	1.A.3	Несколько разных вопросов слиты в один и требуют единого ответа	Вопрос склеивает несколько независимых вопросов; единый ответ «да/нет» вынуждает ответить сразу на все, хотя ответы могут расходиться.	«Вам понравились наш сервис и цены — да или нет?»; «Ты за свободу и против ответственности?»	1.A.6, 2.2.3	Не склеены ли здесь разные вопросы? Каким был бы ответ на каждый по отдельности?	Нетерпение: единый ответ вместо разбора оснований	Черновик	Complex Question	
1.A.6	Loaded Question	Провокационный вопрос	1 - Условия	1.A Вопросы	Вопрос со встроенным допущением	1.A.6	Требование прямого ответа на вопрос со встроенным допущением	Допущение встроено в сам вопрос: любой прямой ответ — и «да», и «нет» — его принимает.	«Просто ответь да или нет: ты думал, что сможешь сойти с плагиатом без последствий?»; «Почему ты ограбил банк?»	1.A.3.1, 2.2.3	Содержит ли вопрос скрытые допущения? Можно ли ответить без их принятия?	Желание загнать в угол	Черновик	Loaded Question	
1.A.4	Taboo / Dogmatism	Табу / Догматизм	1 - Условия	1.A Ошибки постановки	Исключение тем	1.A.4	Односторонее объявление тем или аргументов «священными» и не подлежащими обсуждению	Условия нарушены: часть пространства аргументов априори закрыта. Рассуждение не может начаться честно.	«Не обсуждаем моё пьянство»; «эту тему в семье не поднимают»	2.6.4.7, 3.2.1, 2.6.4.2	Обоснованно ли исключение темы? Или это уход от неудобных вопросов?	Defensiveness, sacred values	Черновик	Taboo	
1.A.5	Venue Fallacy	Ошибка места	1 - Условия	1.A Ошибки постановки	Исключение по контексту	1.A.5	Отклонение валидного аргумента из-за «неправильного» места или форума	Условия нарушены произвольно: аргумент не рассматривается из-за контекста.	«Рабочий чат — не место для этого вопроса»; «Это неподходящий форум» — когда проигрываешь	Disciplinary Blinders, 1.A.4	Делает ли место аргумент невалидным?	Deflection, context manipulation	Черновик	Venue	
1.B.1.1	Argumentum ad Baculum	Аргумент к палке / Силовой аргумент	1 - Условия	1.B Манипуляции	Угроза вместо аргумента	1.B.1	«Убеждение» силой, насилием, угрозами или превосходящей мощью	Рассуждение полностью подменяется принуждением. Сила не доказывает правоту. «Соглашайся или пострадаешь» — это не аргумент, а угроза.	«Отдай кошелёк или получишь по голове»; «Или подписываешь, или уволен»	1.B.10	Меня убеждают или принуждают? Следует ли из силы правота?	Воля к власти, нетерпимость	Черновик	Argumentum ad Baculum	
1.B.1.2	Just Do It	«Просто сделай это»	1 - Условия	1.B Манипуляции	Угроза вместо аргумента	1.B.1	Властное отметание моральных возражений подчинённых с приказом достичь цели любыми средствами	Рассуждение подменяется приказом: моральные возражения отбрасываются силой власти. Подразумевается использование неэтичных методов.	«Вы нашли кладбище на участке? Найдите способ! Пусть оно исчезнет! Контракт на миллион, нужно к вторнику»	1.B.1.1, Plausible Deniability, 1.B.12	Отвечают ли на мои моральные возражения или их просто отметают?	Власть, нетерпение	Черновик	Just Do It	
1.B.1.3	No Discussion / No Negotiation	«Никаких переговоров» / Фашизм силы	1 - Условия	1.B Манипуляции	Угроза вместо аргумента	1.B.1	Отказ от диалога; единственные варианты — безусловная капитуляция или уничтожение	Рассуждение отвергается в принципе. Оппонент изображается как монстр, лишённый разума. Сила подменяет аргумент.	«Обсуждать нечего — делай, как сказано»; «Кто спорит — тот против нас»	1.B.1.1, 2.3.6.3	Почему диалог невозможен? Действительно ли оппонент лишён разума?	Machismo, dehumanization	Черновик	No Discussion	
1.B.1.4	Plausible Deniability	Правдоподобное отрицание	1 - Условия	1.B Манипуляции	Угроза вместо аргумента	1.B.1	Принуждение подчинённых совершить действие и взять ответственность для защиты начальника	Манипуляция через власть: рассуждение подменяется приказом с встроенным сокрытием. Ответственность перекладывается.	«Устрой ему несчастный случай, но я ничего не хочу знать!»	1.B.1.2, 2.2.2.1	Кто реально принял решение? Кто несёт моральную ответственность?	Power, moral disengagement	Черновик	Plausible Deniability	
1.B.1.5	The Pout / Silent Treatment	Дуться / Молчаливое обращение	1 - Условия	1.B Манипуляции	Угроза вместо аргумента	1.B.1	Произвольный отказ от диалога или выход из него до завершения	Рассуждение прерывается односторонне: отказ продолжать как форма давления. Пассивно-агрессивная тактика.	Бойкоты, забастовки как давление; сосед годами не здоровается после спора о заборе	1.B.1.3, 2.6.4.8	Прерван ли диалог аргументированно или как форма давления?	Passive aggression, infantile response	Черновик	The Pout	
1.B.1.6	Standard Version Fallacy	Ошибка стандартной версии	1 - Условия	1.B Манипуляции	Угроза вместо аргумента	1.B.1	Объявление перевода «авторизованным», пресекающее обсуждение оригинала	Рассуждение пресекается декретом: «официальная версия» закрывает дискуссию о значении.	Вульгата; King James Version как «единственно правильный»; одобренные переводы	1.B.11, Othering	Почему именно эта версия «правильная»?	Authority, convenience	Черновик	Standard Version Fallacy	
